MÊS;PRODUTO;NÚMERO DE POSTOS PESQUISADOS;UNIDADE DE MEDIDA;PREÇO MÉDIO REVENDA;DESVIO PADRÃO REVENDA;PREÇO MÍNIMO REVENDA;PREÇO MÁXIMO REVENDA;MARGEM MÉDIA REVENDA;COEF DE VARIAÇÃO REVENDA;PREÇO MÉDIO DISTRIBUIÇÃO;DESVIO PADRÃO DISTRIBUIÇÃO;PREÇO MÍNIMO DISTRIBUIÇÃO;PREÇO MÁXIMO DISTRIBUIÇÃO;COEF DE VARIAÇÃO DISTRIBUIÇÃO
jul/15;OLEO DIESEL;23492;R$/l;2,805;0,145;2,44;3,7;0,308;0,052;2,497;0,108;2,104;3,126;0,043
jul/15;OLEO DIESEL S10;21511;R$/l;2,954;0,138;2,469;3,75;0,325;0,047;2,629;0,103;2,26;3,244;0,039
jul/15;ETANOL HIDRATADO;33344;R$/l;2,081;0,334;1,479;3,61;0,359;0,16;1,722;0,285;1,338;2,674;0,166
jul/15;GASOLINA COMUM;36463;R$/l;3,296;0,208;2,719;4,519;0,432;0,063;2,864;0,136;2,39;3,392;0,047
jul/15;GLP;31903;R$/13kg;45,959;5,494;29,99;70;14,074;0,12;31,885;5,768;13,984;55;0,181
jul/15;GNV;2352;R$/m3;2,057;0,19;1,479;2,987;0,554;0,092;1,503;0,187;1,165;2,314;0,124
ago/15;OLEO DIESEL;13157;R$/l;2,805;0,146;2,45;3,7;0,294;0,052;2,511;0,112;2,136;3,131;0,045
ago/15;OLEO DIESEL S10;12510;R$/l;2,954;0,137;2,499;3,75;0,323;0,046;2,631;0,104;2,112;3,269;0,04
ago/15;ETANOL HIDRATADO;19054;R$/l;2,061;0,345;1,467;3,61;0,362;0,167;1,699;0,295;1,171;2,699;0,174
ago/15;GASOLINA COMUM;20698;R$/l;3,295;0,21;2,749;4,519;0,432;0,064;2,863;0,141;2,374;3,403;0,049
ago/15;GLP;18870;R$/13kg;46,015;5,579;29,99;70;14,043;0,121;31,972;5,717;13,984;53,21;0,179
